User_ID,Age,Income,City_Tier,Device_Type,Traffic_Source,Pages_Viewed,Products_Viewed,Time_On_Site,Previous_Purchases,Discount_Seen,Browser_Version,Campaign_Code,Converted
U00060,49,58841,Tier2,Desktop,Organic,6,4,628,1,1,Edge_v119,CAMP_C,0
U00061,18,38027,Tier2,Desktop,Paid,8,4,32,3,0,Chrome_v120,CAMP_D,0
U00062,24,57140,Tier1,Mobile,Organic,10,2,222,3,0,Safari_v17,CAMP_D,0
U00063,49,49427,Tier3,Tablet,Organic,12,5,403,3,1,Chrome_v120,CAMP_B,0
U00064,41,26521,Tier2,Mobile,Organic,6,2,60,1,1,Safari_v17,CAMP_D,0
U00065,31,42491,Tier1,Tablet,Organic,6,4,217,1,1,Chrome_v120,CAMP_D,0
U00066,47,25960,Tier2,Mobile,Social,7,4,782,1,1,Chrome_v120,CAMP_B,0
U00067,39,28507,Tier1,Mobile,Organic,10,3,32,1,0,Edge_v119,CAMP_A,0
U00068,37,30195,Tier3,Mobile,Organic,9,11,128,5,0,Firefox_v121,CAMP_B,0
U00069,37,106092,Tier1,Mobile,Organic,6,3,205,2,1,Firefox_v121,CAMP_C,0
U00070,39,146312,Tier3,Desktop,Organic,14,7,407,1,1,Edge_v119,CAMP_A,0
U00071,40,23821,Tier3,Mobile,Organic,11,1,1025,2,0,Safari_v17,CAMP_C,0
U00072,56,154524,Tier1,Mobile,Social,9,4,60,1,0,Edge_v119,CAMP_A,0
U00073,33,30456,Tier1,Desktop,Direct,7,7,291,1,0,Firefox_v121,CAMP_A,0
U00074,33,93725,Tier3,Desktop,Email,7,7,195,1,0,Chrome_v120,CAMP_B,0
U00075,22,69921,Tier3,Desktop,Email,6,7,129,0,0,Edge_v119,CAMP_B,0
U00076,34,87685,Tier3,Mobile,Organic,16,6,54,1,0,Safari_v17,CAMP_C,0
U00077,53,29749,Tier3,Desktop,Organic,7,1,200,3,1,Edge_v119,CAMP_B,0
U00078,44,20182,Tier1,Desktop,Organic,12,3,167,3,1,Firefox_v121,CAMP_A,0
U00079,29,36984,Tier2,Mobile,Email,7,6,220,5,0,Chrome_v120,CAMP_B,1
U00080,35,77351,Tier1,Mobile,Organic,10,4,221,2,0,Firefox_v121,CAMP_C,0
U00081,22,193714,Tier3,Mobile,Social,4,6,294,1,0,Firefox_v121,CAMP_A,0
U00082,25,32278,Tier2,Mobile,Organic,10,4,1036,1,1,Firefox_v121,CAMP_C,1
U00083,36,56426,Tier2,Mobile,Organic,7,3,70,2,0,Firefox_v121,CAMP_D,0
U00084,30,38198,Tier1,Mobile,Direct,4,9,115,0,0,Chrome_v120,CAMP_B,0
U00085,24,59258,Tier2,Desktop,Email,7,3,96,1,0,Firefox_v121,CAMP_A,0
U00086,39,20000,Tier2,Desktop,Email,9,7,11,2,0,Safari_v17,CAMP_C,0
U00087,34,147093,Tier3,Tablet,Social,7,4,134,1,0,Safari_v17,CAMP_B,0
U00088,19,60743,Tier2,Desktop,Email,11,7,461,1,1,Firefox_v121,CAMP_B,0
U00089,18,103808,Tier3,Mobile,Social,7,7,61,1,1,Safari_v17,CAMP_C,0
U00090,29,52087,Tier2,Desktop,Direct,6,7,127,2,1,Firefox_v121,CAMP_A,0
U00091,19,67129,Tier1,Desktop,Organic,12,4,345,1,0,Chrome_v120,CAMP_C,0
U00092,18,117868,Tier3,Mobile,Social,7,6,709,0,0,Chrome_v120,CAMP_B,0
U00093,46,64798,Tier3,Desktop,Social,8,2,635,3,1,Safari_v17,CAMP_C,0
U00094,34,66212,Tier2,Tablet,Paid,7,5,120,4,0,Safari_v17,CAMP_D,0
U00095,32,37184,Tier3,Mobile,Email,8,2,37,1,0,Firefox_v121,CAMP_B,0
U00096,33,43449,Tier2,Tablet,Direct,10,2,20,4,0,Edge_v119,CAMP_A,0
U00097,23,32607,Tier2,Mobile,Paid,6,1,19,0,0,Firefox_v121,CAMP_D,0
U00098,39,38452,Tier2,Mobile,Paid,9,3,251,1,1,Firefox_v121,CAMP_C,0
U00099,33,126847,Tier1,Mobile,Paid,2,10,736,3,1,Chrome_v120,CAMP_A,0
U00100,27,177223,Tier1,Desktop,Email,8,7,601,1,1,Edge_v119,CAMP_D,0
U00101,28,28328,Tier1,Desktop,Social,5,7,489,5,1,Edge_v119,CAMP_C,0
U00102,22,75894,Tier2,Tablet,Organic,12,5,352,2,0,Firefox_v121,CAMP_D,0
U00103,30,49483,Tier2,Mobile,Paid,7,4,184,2,1,Chrome_v120,CAMP_B,0
U00104,32,138438,Tier2,Mobile,Organic,8,3,115,0,0,Safari_v17,CAMP_A,0
U00105,30,64920,Tier3,Desktop,Email,9,1,269,4,1,Chrome_v120,CAMP_D,0
U00106,35,59606,Tier1,Desktop,Paid,10,5,167,2,0,Safari_v17,CAMP_B,0
U00107,34,38297,Tier2,Mobile,Paid,7,6,287,4,0,Chrome_v120,CAMP_C,0
U00108,37,23883,Tier3,Mobile,Email,7,4,65,2,0,Edge_v119,CAMP_B,0
U00109,44,94519,Tier1,Desktop,Organic,11,3,506,1,1,Chrome_v120,CAMP_C,1
U00110,40,73997,Tier1,Desktop,Organic,12,3,213,2,1,Firefox_v121,CAMP_A,0
U00111,44,75091,Tier1,Mobile,Paid,10,5,271,0,0,Safari_v17,CAMP_B,0
U00112,26,41789,Tier1,Mobile,Organic,8,4,478,2,1,Chrome_v120,CAMP_B,0
U00113,29,54859,Tier3,Tablet,Paid,13,7,84,1,1,Chrome_v120,CAMP_C,0
U00114,41,96244,Tier3,Desktop,Direct,3,5,133,1,0,Safari_v17,CAMP_D,0
U00115,41,107933,Tier2,Mobile,Email,10,8,40,2,1,Chrome_v120,CAMP_C,0
U00116,28,29522,Tier3,Mobile,Email,6,3,178,3,1,Safari_v17,CAMP_D,0
U00117,41,40945,Tier3,Desktop,Direct,9,1,324,0,0,Edge_v119,CAMP_C,0
U00118,25,26005,Tier1,Mobile,Paid,3,6,168,2,0,Safari_v17,CAMP_A,0
U00119,39,67559,Tier3,Mobile,Organic,8,6,377,2,0,Safari_v17,CAMP_D,0
U00120,34,101783,Tier2,Mobile,Organic,8,2,408,0,0,Edge_v119,CAMP_B,0
U00121,21,50653,Tier3,Mobile,Email,10,6,10,2,1,Chrome_v120,CAMP_D,0
U00122,30,40226,Tier3,Desktop,Social,4,6,262,3,0,Chrome_v120,CAMP_C,0
U00123,56,48962,Tier2,Mobile,Organic,3,9,1007,2,0,Edge_v119,CAMP_C,0
U00124,37,238897,Tier1,Desktop,Paid,4,4,363,5,0,Firefox_v121,CAMP_D,0
U00125,58,122413,Tier1,Mobile,Paid,10,6,193,1,0,Safari_v17,CAMP_B,0
U00126,20,92836,Tier2,Mobile,Paid,4,6,178,3,1,Chrome_v120,CAMP_A,0
U00127,42,72550,Tier3,Mobile,Email,6,5,64,1,1,Chrome_v120,CAMP_B,0
U00128,18,59418,Tier3,Tablet,Paid,6,5,655,2,0,Safari_v17,CAMP_D,0
U00129,34,34752,Tier1,Desktop,Direct,6,8,1359,0,0,Safari_v17,CAMP_C,0
U00130,41,31665,Tier2,Mobile,Paid,12,4,60,2,0,Safari_v17,CAMP_B,0
U00131,43,42584,Tier2,Desktop,Social,7,3,35,2,0,Firefox_v121,CAMP_C,0
U00132,27,33783,Tier1,Desktop,Direct,9,2,107,5,0,Edge_v119,CAMP_C,0
U00133,45,41577,Tier1,Tablet,Direct,7,3,116,4,1,Firefox_v121,CAMP_B,0
U00134,29,56323,Tier2,Mobile,Organic,3,7,412,4,0,Firefox_v121,CAMP_D,0
U00135,33,58972,Tier3,Desktop,Organic,9,6,76,3,0,Safari_v17,CAMP_B,0
U00136,30,41265,Tier2,Mobile,Paid,4,2,246,3,0,Edge_v119,CAMP_A,0
U00137,23,80589,Tier2,Mobile,Paid,6,9,93,1,1,Chrome_v120,CAMP_C,0
U00138,50,53455,Tier3,Tablet,Social,6,1,438,1,0,Safari_v17,CAMP_C,0
U00139,35,68105,Tier2,Mobile,Direct,11,5,135,1,0,Edge_v119,CAMP_D,0
U00140,45,38301,Tier3,Mobile,Organic,3,4,132,3,1,Chrome_v120,CAMP_C,0
U00141,45,90737,Tier3,Mobile,Paid,10,7,10,1,0,Firefox_v121,CAMP_C,0
U00142,25,43438,Tier1,Desktop,Organic,12,1,21,3,1,Edge_v119,CAMP_C,0
U00143,47,157177,Tier2,Desktop,Email,7,3,388,2,1,Firefox_v121,CAMP_B,0
U00144,40,52313,Tier2,Mobile,Direct,11,10,257,0,1,Firefox_v121,CAMP_C,0
U00145,24,56567,Tier1,Tablet,Paid,8,4,50,2,1,Edge_v119,CAMP_B,0
U00146,39,85489,Tier1,Mobile,Organic,11,4,930,0,0,Chrome_v120,CAMP_D,0
U00147,24,97451,Tier2,Mobile,Email,6,7,222,4,1,Edge_v119,CAMP_A,0
U00148,51,103959,Tier2,Tablet,Social,8,6,57,2,0,Chrome_v120,CAMP_C,1
U00149,43,173746,Tier1,Mobile,Paid,10,7,153,3,1,Safari_v17,CAMP_A,1
U00150,34,89065,Tier1,Mobile,Email,8,5,211,1,0,Safari_v17,CAMP_B,0
U00151,47,57515,Tier3,Mobile,Direct,8,3,41,1,0,Safari_v17,CAMP_D,0
U00152,19,43573,Tier1,Desktop,Social,4,3,205,2,1,Firefox_v121,CAMP_D,0
U00153,27,55254,Tier1,Mobile,Social,5,11,26,2,0,Safari_v17,CAMP_B,0
U00154,32,145861,Tier2,Tablet,Organic,6,10,128,1,1,Firefox_v121,CAMP_A,0
U00155,57,26051,Tier3,Desktop,Social,15,5,312,3,0,Chrome_v120,CAMP_C,0
U00156,24,36628,Tier1,Mobile,Paid,8,5,446,1,0,Edge_v119,CAMP_B,0
U00157,18,52502,Tier2,Desktop,Paid,7,3,100,2,0,Edge_v119,CAMP_B,0
U00158,20,36337,Tier3,Mobile,Organic,5,4,228,5,0,Firefox_v121,CAMP_B,0
U00159,44,46851,Tier1,Mobile,Organic,10,4,127,3,0,Firefox_v121,CAMP_B,0
U00160,29,176970,Tier3,Desktop,Organic,9,2,1932,2,0,Firefox_v121,CAMP_B,0
U00161,33,50068,Tier2,Tablet,Paid,11,3,471,1,0,Chrome_v120,CAMP_D,0
U00162,42,76648,Tier2,Mobile,Social,6,4,506,2,1,Chrome_v120,CAMP_B,0
U00163,33,22138,Tier2,Mobile,Social,7,4,716,1,1,Safari_v17,CAMP_D,0
U00164,37,30900,Tier2,Mobile,Paid,7,6,289,7,1,Safari_v17,CAMP_A,0
U00165,40,104779,Tier1,Mobile,Paid,9,6,398,5,1,Edge_v119,CAMP_C,0
U00166,30,162887,Tier3,Mobile,Email,4,3,476,4,0,Safari_v17,CAMP_D,0
U00167,33,68380,Tier2,Mobile,Paid,8,5,95,4,0,Chrome_v120,CAMP_C,0
U00168,37,49830,Tier1,Desktop,Direct,13,8,1160,6,0,Chrome_v120,CAMP_C,0
U00169,43,80635,Tier1,Mobile,Paid,10,5,179,2,0,Chrome_v120,CAMP_C,0
U00170,27,20000,Tier2,Mobile,Social,1,5,246,3,0,Chrome_v120,CAMP_D,0
U00171,18,68697,Tier2,Desktop,Organic,6,6,280,4,1,Edge_v119,CAMP_D,0
U00172,41,31962,Tier1,Desktop,Social,10,2,215,3,0,Edge_v119,CAMP_D,0
U00173,44,96418,Tier2,Mobile,Email,4,1,150,2,1,Chrome_v120,CAMP_A,0
U00174,37,20000,Tier1,Mobile,Direct,11,4,644,0,1,Firefox_v121,CAMP_D,0
U00175,37,41067,Tier2,Desktop,Direct,11,2,13,2,0,Safari_v17,CAMP_A,0
U00176,29,58420,Tier1,Mobile,Organic,11,7,84,0,0,Edge_v119,CAMP_D,0
U00177,40,37908,Tier2,Mobile,Social,9,4,3294,2,0,Firefox_v121,CAMP_D,0
U00178,43,47796,Tier2,Desktop,Paid,10,4,71,0,0,Safari_v17,CAMP_C,0
U00179,35,103018,Tier3,Mobile,Social,9,4,134,2,0,Firefox_v121,CAMP_B,0
U00180,59,59000,Tier1,Mobile,Organic,17,5,477,2,1,Chrome_v120,CAMP_C,0
U00181,19,34257,Tier2,Mobile,Email,9,3,84,1,0,Safari_v17,CAMP_D,0
U00182,36,105265,Tier1,Mobile,Direct,13,4,441,0,0,Firefox_v121,CAMP_B,0
U00183,23,69604,Tier3,Mobile,Paid,7,1,704,3,0,Edge_v119,CAMP_B,0
U00184,43,71359,Tier3,Tablet,Organic,10,7,17,0,0,Edge_v119,CAMP_A,0
U00185,19,35048,Tier1,Mobile,Organic,10,3,872,2,0,Edge_v119,CAMP_B,0
U00186,21,20000,Tier2,Mobile,Social,10,8,204,0,0,Safari_v17,CAMP_A,0
U00187,28,34763,Tier3,Mobile,Paid,4,12,275,0,0,Chrome_v120,CAMP_C,0
U00188,37,32704,Tier2,Tablet,Direct,4,3,98,2,1,Chrome_v120,CAMP_A,0
U00189,29,41440,Tier2,Mobile,Social,5,11,210,5,1,Safari_v17,CAMP_D,0
U00190,29,36130,Tier1,Mobile,Social,5,4,496,1,0,Safari_v17,CAMP_B,0
U00191,33,64062,Tier1,Desktop,Social,5,7,488,2,0,Chrome_v120,CAMP_D,0
U00192,32,101572,Tier3,Mobile,Organic,6,6,110,1,0,Edge_v119,CAMP_B,0
U00193,49,114198,Tier3,Mobile,Direct,6,6,355,0,1,Chrome_v120,CAMP_B,0
U00194,41,98945,Tier2,Mobile,Social,13,4,542,0,0,Chrome_v120,CAMP_C,0
U00195,31,34941,Tier2,Mobile,Direct,7,2,789,1,1,Firefox_v121,CAMP_A,0
U00196,55,62027,Tier2,Mobile,Paid,11,9,46,1,0,Edge_v119,CAMP_C,0
U00197,39,153138,Tier3,Desktop,Social,9,10,74,1,0,Safari_v17,CAMP_A,1
U00198,25,23136,Tier3,Mobile,Organic,9,10,390,3,1,Chrome_v120,CAMP_C,0
U00199,37,134448,Tier3,Desktop,Social,3,10,724,2,1,Edge_v119,CAMP_C,0
U00200,40,32936,Tier3,Mobile,Email,12,7,24,3,0,Safari_v17,CAMP_B,0
U00201,28,71414,Tier2,Mobile,Email,4,5,80,0,1,Firefox_v121,CAMP_C,0
U00202,24,76701,Tier1,Mobile,Email,10,10,699,1,0,Firefox_v121,CAMP_C,0
U00203,35,67100,Tier1,Tablet,Organic,3,8,45,3,0,Edge_v119,CAMP_A,0
U00204,31,227996,Tier3,Mobile,Direct,6,5,271,1,1,Chrome_v120,CAMP_C,0
U00205,49,49986,Tier2,Desktop,Direct,6,3,10,2,1,Safari_v17,CAMP_B,0
U00206,42,22388,Tier1,Mobile,Organic,6,2,87,0,0,Edge_v119,CAMP_C,0
U00207,28,74151,Tier1,Mobile,Direct,5,5,95,3,0,Firefox_v121,CAMP_D,0
U00208,39,54066,Tier2,Mobile,Organic,3,5,10,2,0,Safari_v17,CAMP_D,0
U00209,47,83523,Tier1,Mobile,Social,11,9,448,3,0,Safari_v17,CAMP_A,0
U00210,21,101646,Tier1,Mobile,Paid,8,10,383,2,0,Chrome_v120,CAMP_A,0
U00211,24,58676,Tier2,Mobile,Direct,10,8,10,0,0,Firefox_v121,CAMP_D,0
U00212,34,77791,Tier2,Desktop,Organic,5,3,27,0,1,Firefox_v121,CAMP_C,0
U00213,35,65286,Tier2,Mobile,Paid,9,5,443,2,1,Firefox_v121,CAMP_C,0
U00214,34,175454,Tier1,Desktop,Paid,14,4,76,1,0,Safari_v17,CAMP_A,1
U00215,31,47937,Tier3,Mobile,Paid,8,0,256,1,1,Firefox_v121,CAMP_B,1
U00216,31,39646,Tier1,Mobile,Social,10,4,873,2,0,Edge_v119,CAMP_C,0
U00217,38,101563,Tier2,Desktop,Organic,6,4,63,2,1,Firefox_v121,CAMP_D,0
U00218,46,34285,Tier3,Mobile,Social,16,3,16,2,0,Safari_v17,CAMP_B,0
U00219,30,75757,Tier2,Mobile,Direct,10,3,267,3,0,Firefox_v121,CAMP_B,0
U00220,59,54081,Tier3,Desktop,Email,10,4,113,1,1,Firefox_v121,CAMP_C,0
U00221,54,56342,Tier2,Desktop,Email,9,4,324,2,1,Safari_v17,CAMP_B,0
U00222,48,258430,Tier2,Mobile,Paid,8,9,983,4,1,Firefox_v121,CAMP_A,0
U00223,41,125549,Tier1,Mobile,Paid,9,4,251,0,0,Chrome_v120,CAMP_B,0
U00224,55,110519,Tier2,Desktop,Paid,10,7,343,4,1,Safari_v17,CAMP_A,0
U00225,32,82317,Tier1,Mobile,Organic,7,10,76,2,1,Firefox_v121,CAMP_C,1
U00226,26,39540,Tier1,Desktop,Direct,6,5,417,3,0,Chrome_v120,CAMP_B,0
U00227,29,70044,Tier3,Mobile,Organic,4,3,16,0,1,Edge_v119,CAMP_D,0
U00228,24,84964,Tier2,Mobile,Direct,10,4,630,0,1,Safari_v17,CAMP_D,0
U00229,36,67466,Tier3,Desktop,Organic,6,5,176,0,0,Firefox_v121,CAMP_A,0
U00230,37,63376,Tier2,Mobile,Email,4,4,101,3,1,Safari_v17,CAMP_A,0
U00231,37,47170,Tier3,Mobile,Organic,13,7,277,0,1,Chrome_v120,CAMP_C,0
U00232,34,70549,Tier2,Mobile,Organic,5,7,540,2,0,Safari_v17,CAMP_B,0
U00233,36,43680,Tier2,Desktop,Social,5,7,152,1,1,Edge_v119,CAMP_A,0
U00234,52,91313,Tier2,Desktop,Organic,7,4,328,1,0,Firefox_v121,CAMP_A,0
U00235,41,20000,Tier1,Mobile,Social,8,7,755,1,0,Edge_v119,CAMP_C,0
U00236,44,135299,Tier3,Mobile,Social,5,2,450,2,0,Chrome_v120,CAMP_B,0
U00237,36,27255,Tier1,Desktop,Organic,9,6,900,0,1,Safari_v17,CAMP_B,0
U00238,18,31560,Tier1,Desktop,Direct,12,6,564,2,1,Firefox_v121,CAMP_A,0
U00239,18,76520,Tier2,Desktop,Paid,9,5,132,2,0,Firefox_v121,CAMP_B,0
U00240,55,82781,Tier1,Mobile,Social,6,4,285,3,1,Chrome_v120,CAMP_B,0
U00241,29,208348,Tier3,Desktop,Paid,6,5,58,1,0,Chrome_v120,CAMP_B,1
U00242,28,71522,Tier3,Desktop,Social,9,5,710,2,0,Safari_v17,CAMP_D,0
U00243,37,58438,Tier3,Mobile,Paid,8,6,118,5,1,Firefox_v121,CAMP_B,0
U00244,40,67156,Tier2,Mobile,Organic,9,4,216,2,0,Chrome_v120,CAMP_D,0
U00245,41,155483,Tier1,Mobile,Paid,11,3,220,0,0,Firefox_v121,CAMP_B,0
U00246,52,256437,Tier3,Desktop,Paid,8,5,90,3,1,Safari_v17,CAMP_B,0
U00247,50,53590,Tier2,Mobile,Paid,6,2,837,2,0,Edge_v119,CAMP_B,0
U00248,26,82922,Tier3,Desktop,Social,5,3,515,2,0,Chrome_v120,CAMP_A,0
U00249,44,57260,Tier3,Tablet,Social,8,3,138,3,0,Safari_v17,CAMP_A,0
U00250,31,56581,Tier3,Desktop,Organic,10,3,98,1,0,Edge_v119,CAMP_D,0
U00251,33,184874,Tier1,Tablet,Paid,8,4,192,2,1,Safari_v17,CAMP_B,0
U00252,24,34356,Tier2,Tablet,Paid,4,7,970,2,1,Chrome_v120,CAMP_D,0
U00253,18,20000,Tier3,Mobile,Organic,6,3,463,3,1,Safari_v17,CAMP_B,0
U00254,34,72436,Tier2,Desktop,Organic,11,5,141,0,0,Firefox_v121,CAMP_C,0
U00255,25,123081,Tier1,Mobile,Organic,9,4,36,4,1,Chrome_v120,CAMP_D,0
U00256,44,68318,Tier2,Desktop,Direct,9,5,26,2,1,Firefox_v121,CAMP_A,0
U00257,32,80928,Tier3,Mobile,Social,7,6,342,2,0,Safari_v17,CAMP_C,0
U00258,38,94036,Tier2,Tablet,Organic,6,7,90,1,0,Chrome_v120,CAMP_A,0
U00259,48,63994,Tier2,Desktop,Organic,9,7,357,2,1,Firefox_v121,CAMP_C,0
U00260,20,83598,Tier1,Desktop,Social,10,5,87,1,1,Firefox_v121,CAMP_C,0
U00261,27,82765,Tier2,Mobile,Paid,7,0,455,2,0,Firefox_v121,CAMP_C,0
U00262,36,20000,Tier3,Mobile,Email,5,4,12,2,1,Edge_v119,CAMP_D,0
U00263,38,64107,Tier1,Desktop,Direct,6,6,434,4,0,Firefox_v121,CAMP_D,0
U00264,46,23302,Tier2,Mobile,Social,8,6,91,4,1,Firefox_v121,CAMP_A,0
U00265,43,58518,Tier3,Desktop,Organic,8,5,123,1,1,Safari_v17,CAMP_D,0
U00266,35,44481,Tier3,Mobile,Email,8,7,44,4,0,Safari_v17,CAMP_A,0
U00267,38,111347,Tier2,Desktop,Direct,4,4,55,2,0,Safari_v17,CAMP_B,0
U00268,38,69331,Tier3,Mobile,Social,8,5,196,1,1,Safari_v17,CAMP_A,0
U00269,20,79532,Tier2,Desktop,Social,9,3,382,2,0,Edge_v119,CAMP_A,0
U00270,33,53376,Tier1,Desktop,Paid,11,3,193,0,0,Safari_v17,CAMP_D,0
U00271,37,112567,Tier3,Mobile,Paid,4,6,321,4,0,Safari_v17,CAMP_A,0
U00272,39,22962,Tier3,Mobile,Social,6,9,105,1,1,Safari_v17,CAMP_D,0
U00273,25,34985,Tier3,Mobile,Direct,9,1,10,0,1,Firefox_v121,CAMP_A,0
U00274,22,129545,Tier3,Desktop,Social,9,3,37,2,0,Edge_v119,CAMP_B,0
U00275,32,46101,Tier2,Mobile,Email,13,2,238,0,0,Safari_v17,CAMP_D,0
U00276,54,20000,Tier2,Desktop,Organic,7,4,135,4,0,Firefox_v121,CAMP_D,0
U00277,26,143140,Tier3,Mobile,Organic,11,5,199,5,0,Chrome_v120,CAMP_B,0
U00278,46,114251,Tier2,Mobile,Paid,9,7,309,2,0,Edge_v119,CAMP_D,0
U00279,50,91727,Tier3,Mobile,Organic,5,2,85,0,0,Safari_v17,CAMP_A,1
U00280,35,63363,Tier3,Mobile,Social,6,12,194,3,0,Firefox_v121,CAMP_C,0
